Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,AI_Keywords
DOC-0022-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Edge AI survey payload development,"Continued support of multispectral aerial imaging payload running detection model 
pipelines in real-time. This is a nine camera (color, infrared, ultraviolet) payload controlled 
by dedicated on-board computers with GPUs. YOLO detection models run at a rate faster 
than image collection, allowing real-time processing of imagery as it comes off the 
cameras. Goals of effort are to reduce overall data burden (by TBs) and reduce the data 
processing timeline, expediting analysis and population assessment for arctic mammals.",,,,Department of Commerce,"Keywords:
1. Multispectral imaging
2. Aerial imaging
3. Detection models
4. Real-time processing
5. YOLO (You Only Look Once) models
6. On-board computers
7. GPUs
8. Arctic mammals
9. Population assessment
10. Image collection"
DOC-0023-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Ice seal detection and species classification in multispectral aerial imagery,"Refine and improve detection and classification pipelines with the goal of reducing false 
positive rates (to < 50%) while maintaining > 90% accuracy and significantly reducing or 
eliminating the labor intensive, post survey review process.",,,,Department of Commerce,"1. Detection
2. Classification
3. Pipeline
4. False positive
5. Accuracy
6. Labor intensive
7. Post survey review
8. Refinement
9. Improvement
10. Reduction"
DOC-0024-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,First Guess Excessive Rainfall Outlook,"Machine Learning Product that is a first guess for the WPC Excessive Rainfall Outlook - It is 
learned from the ERO with atmospheric variables. It is for the Day 4-7 products",,,,Department of Commerce,"Keywords: Machine Learning, WPC Excessive Rainfall Outlook, Day 4-7 forecast, Atmospheric variables, ERO, Keywords extraction, First guess model, AI application, Weather prediction."
DOC-0025-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,First Guess Excessive Rainfall Outlook,"Machine Learning Product that is a first guess for the WPC Excessive Rainfall Outlook - It is 
learned from the ERO with atmospheric variables. It is for the Day 1, 2, 3 products",,,,Department of Commerce,"1. Machine Learning
2. WPC Excessive Rainfall Outlook
3. Day 1-3 products
4. Atmospheric variables
5. ERO
6. First guess
7. AI model
8. Forecasting
9. Weather prediction
10. Keyword extraction"
DOC-0026-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,"CoralNet: Ongoing operational use, improvement, and development, of machine vision point classification","CoralNet is our operational point annotation software for benthic photo quadrat 
annotation. Our development of our classifiers has allowed us to significantly reduce our 
human annotation, and we continue to co-develop (and co-fund) new developments in 
CoralNet,",,,,Department of Commerce,"1. Operational point annotation software
2. Benthic photo quadrat annotation
3. Classifiers development
4. Reduced human annotation
5. Co-development
6. Co-funding
7. CoralNet
8. AI model
9. Keywords extraction
10. Development in CoralNet"
DOC-0027-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Automated detection of hazardous low clouds in support of safe and efficient transportation,"This is a maintenance and sustainment project for the operational GOES-R fog/low stratus 
(FLS) products. The FLS products are derived from the combination of GOES-R satellite 
imagery and NWP data using machine learning. The FLS products, which are available in 
AWIPS, are routinely used by the NWS Aviation Weather Center and Weather Forecast 
Offices.",,,,Department of Commerce,"1. Maintenance
2. Sustainment
3. GOES-R
4. Fog/Low stratus
5. NWP data
6. Machine learning
7. FLS products
8. AWIPS
9. NWS Aviation Weather Center
10. Weather Forecast Offices"
DOC-0028-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,The Development of ProbSevere v3 - An improved nowcasting model in support of severe weather warning operations,"ProbSevere is a ML model that utilizes NWP, satellite, radar, and lightning data to nowcast 
severe wind, severe hail, and tornadoes. ProbSevere, which was transitioned to NWS 
operations in October 2020, is a proven tool that enhances operational severe weather 
warnings. This project aims to develop the next version of ProbSevere, ProbSevere v3. 
ProbSevere v3 utilizes additional data sets and improved machine learning techniques to 
improve upon the operational version of ProbSevere. ProbSevere v3 was successfully 
demonstrated in the 2021 Hazardous Weather Testbed and a JTTI proposal was recently 
submitted to facilitate an operational update. The development is funded by GOES-R.",,,,Department of Commerce,"Keywords:
1. ProbSevere
2. ML model
3. NWP
4. Satellite data
5. Radar data
6. Lightning data
7. Severe wind
8. Severe hail
9. Tornadoes
10. Next version"
DOC-0029-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,"The VOLcanic Cloud Analysis Toolkit (VOLCAT): An application system for detecting, tracking, characterizing, and forecasting hazardous volcanic events","Volcanic ash is a major aviation hazard. The VOLcanic Cloud Analysis Toolkit (VOLCAT) 
consists of several AI powered satellite applications including: eruption detection, 
alerting, and volcanic cloud tracking. These applications are routinely utilized by Volcanic 
Ash Advisory Centers to issue volcanic ash advisories. Under this project, the VOLCAT 
products will be further developed, and subsequently transitioned to the NESDIS Common 
Cloud Framework, to help ensure adherence to new International Civil Aviation 
Organization requirements.",,,,Department of Commerce,"- Volcanic ash
- Satellite applications
- AI powered
- Eruption detection
- Alerting
- Volcanic cloud tracking
- Volcanic Ash Advisory Centers
- NESDIS Common Cloud Framework
- International Civil Aviation Organization
- Transitioned"
DOC-0030-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,SUVI Thematic Maps,"The GOES-16 Solar Ultraviolet Imager (SUVI) is NOAA's operational solar extreme-
ultraviolet imager. The SUVI Level 2 Thematic Map files in these directories are produced 
by NOAA's National Centers for Environmental Information in Boulder, Colorado. These 
data have been processed from Level 2 High Dynamic Range (HDR) composite SUVI 
images. The FITS file headers are populated with metadata to facilitate interpretation by 
users of these observations. Please note that these files are considered to be 
experimental and thus will be improved in future releases. Users requiring assistance with 
these files can contact the NCEI SUVI team by emailing goesr.suvi@noaa.gov. The SUVI 
Thematic Maps product is a Level 2 data product that (presently) uses a machine learning 
classifier to generate a pixel-by-pixel map of important solar features digested from all six 
SUVI spectral channels.",,,,Department of Commerce,"- Machine learning classifier
- Solar features detection
- Solar ultraviolet imaging
- Thematic map generation
- Level 2 data product
- Important solar features identification
- Pixel-by-pixel mapping
- Solar extreme-ultraviolet imaging
- NOAA operational use
- AI-driven solar observation"
DOC-0031-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,"BANTER, a machine learning acoustic event classifier",A supervised machine learning acoustic event classifier using hierarchical random forests,,,,Department of Commerce,"1. Supervised machine learning
2. Acoustic event classifier
3. Hierarchical random forests
4. AI model
5. Audio classification
6. Sound recognition
7. Machine learning algorithm
8. Event detection
9. Classification system
10. AI application"
DOC-0032-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,ProbSR (probability of subfreezing roads,A machine-learned algorithm that provides a 0-100% probability roads are subfreezing,,,,Department of Commerce,"1. Machine-learned algorithm
2. Road condition prediction
3. Subfreezing detection
4. Probability estimation
5. Weather forecasting
6. Road safety 
7. Intelligent transportation system
8. Predictive analytics 
9. Risk assessment 
10. Winter road maintenance"
DOC-0033-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,VIAME: Video and Image Analysis for the Marine Environment Software Toolkit,"The Video and Image Analysis for the Marine Environment Software Toolkit, commonly 
known as VIAME, is an open-source, modular software toolkit that allows users to employ 
high-level, deep-learning algorithms for automated annotation of imagery using a low 
code/no code graphical user interface. VIAME is available free of charge to all NOAA 
users.  The NOAA Fisheries Office of Science and Technology supports an annual 
maintenance contract covering technical and customer support by the developer, routine 
software updates, bug fixes, and development efforts that support broad, cross center 
application needs.",,,,Department of Commerce,"1. Video and Image Analysis
2. Marine Environment
3. Open-source
4. Modular software toolkit
5. Deep-learning algorithms
6. Automated annotation
7. Low code/no code
8. Graphical user interface
9. NOAA Users
10. Annual maintenance contract"
DOC-0034-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,ENSO Outlooks using observed/analyzed fields,"LSTM model that uses ocean and atmospheric predictors throughout the tropical Pacific 
to forecast ONI values up to 1 year in advance. An extension of this was submitted to the 
cloud portfolio with the intent of adding a CNN layer that that uses reforecast data to 
improve the ONI forecasts.",,,,Department of Commerce,"Keywords:
1. LSTM model
2. Ocean predictors
3. Atmospheric predictors
4. ONI values
5. Forecasting
6. Tropical Pacific
7. CNN layer
8. Reforecast data
9. Improving forecasts
10. Cloud portfolio."
DOC-0035-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Using community-sourced underwater photography and image recognition software to study green sea turtle distribution and ecology in southern California,"The goal of this project is to study green turtles in and around La Jolla Cove in the San 
Diego Region-a highly populated site with ecotourism-by engaging with local 
photographers to collect green turtle underwater images.  The project uses publicly 
available facial recognition software (HotSpotter) to identify individual turtles, from which 
we determine population size, residency patterns, and foraging ecology",,,,Department of Commerce,"1. Green turtle identification 
2. Underwater image analysis 
3. HotSpotter facial recognition software 
4. Population size estimation 
5. Residency pattern analysis 
6. Foraging ecology study 
7. Ecotourism impact assessment 
8. Local photographer engagement 
9. La Jolla Cove research project 
10. San Diego Region conservation efforts"
DOC-0036-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,An Interactive Machine Learning Signals in Passive Acoustic Recordings Toolkit for Classifying Species Identity of Cetacean Echolocation,"Develop robust automated machine learning detection and classification tools for acoustic 
species identification of toothed whale and dolphin echolocation clicks for up to 20 
species found in the Gulf of Mexico. Tool development project funded from June 2018 to May 2021. Tool will be used for automated analyses of long-term recordings from Gulf- wide passive acoustic moored instruments deployed from 2010-2025 to look at  environmental processes driving trends in marine mammal density and distribution.",,,,Department of Commerce,"1. Automated machine learning
2. Acoustic species identification
3. Toothed whale
4. Dolphin echolocation
5. Detection
6. Classification
7. Long-term recordings
8. Passive acoustic moored instruments
9. Marine mammal density
10. Environmental processes"
DOC-0037-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Steller sea lion automated count program,"NOAA Fisheries Alaska Fisheries Science Center's Marine Mammal Laboratory (MML) is 
mandated to monitor the endangered western Steller sea lion population in Alaska. MML 
conducts annual aerial surveys of known Steller sea lion sites across the southern 
Alaska coastline to capture visual imagery. It requires two full-time, independent counters 
to process overlapping imagery manually (to avoid double counting sea lions in multiple 
frames), and count and classify individuals by age and sex class. These counts are vital 
for population and ecosystem-based modeling to better understand the species and 
ecosystem, to inform sustainable fishery management decisions, and are eagerly 
anticipated by stakeholders like the NOAA Alaska Regional Office, industry, and 
environmental groups. MML worked with Kitware to develop detection and image 
registration pipelines with VIAME (updates to the DIVE program to support updated 
interface needs). MML is now working to assess the algorithms efficacy and develop a 
workflow to augment the traditional counting method (to RL 9).",,,,Department of Commerce,"Keywords: Object detection, image registration, aerial surveys, marine mammal monitoring, population modeling, ecosystem modeling, sustainable fishery management, AI augmentation, visual imagery analysis, Steller sea lion population monitoring."
DOC-0038-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Steller sea lion brand sighting,"Detection and identification of branded steller sea lions from remote camera images in 
the western Aleutian Islands, AK. The goal is to help streamline photo processing to 
reduce the effort required to review images.",,,,Department of Commerce,"1. Branded steller sea lions
2. Remote camera images
3. Detection
4. Identification
5. Western Aleutian Islands, AK
6. Streamline photo processing
7. Reduce effort
8. Review images
9. AI model
10. Primary application"
DOC-0039-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Replacing unstructured WW3 in the Great Lakes with a Recurrent neural network and a boosted ensemble decision tree,"Investigated replacing unstructured WW3 in the Great Lakes with (i) a Recurrent Neural 
Network (RNN, especially an LSTM) developed by EMC and (ii) a boosted ensemble 
decision tree (XGBoost) developed by GLERL. These two AI models were trained on two 
decades of wave observations in Lake Erie and compared to the operational Great Lakes 
unstructured WW3.",,,,Department of Commerce,"1. Recurrent Neural Network (RNN)
2. Long Short-Term Memory (LSTM)
3. XGBoost
4. Ensemble decision tree
5. Great Lakes
6. Wave observations
7. Lake Erie
8. Unstructured WW3
9. AI model
10. Operational comparison"
DOC-0040-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Using k-means clustering to identify spatially and temporally consistent wave systems,"Postprocessing that uses k-means clustering to identify spatially and temporally consistent 
wave systems from the output of NWPS v1.3. Has been successfully evaluated in the field 
by NWS marine forecasters nationwide and has been implemented into operations on 
February 3, 2021.",,,,Department of Commerce,"Keywords:
1. Postprocessing
2. K-means clustering
3. Spatially consistent
4. Temporally consistent
5. Wave systems
6. NWPS v1.3
7. NWS marine forecasters
8. Evaluation
9. Implementation into operations
10. February 3, 2021"
DOC-0041-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Picky,"Using CNN to pick out objects of a particular size from sides scan imagery.  Presents users 
with a probability that allows for automation of contact picking in the field.  Side scan 
imagery is simple one channel intensity image which lends itself well to basic CNN 
techniques.",,,,Department of Commerce,"1. CNN (Convolutional Neural Network)
2. Object detection
3. Automated contact picking
4. Side scan imagery
5. Probability estimation
6. Field application
7. Basic CNN techniques
8. Image processing
9. Size estimation
10. Contact picking automation."
DOC-0042-2023,DOC,National Telecommunications and Information Administration (NTIA),,Data Science: Clutter,"NTIA’s Institute for Telecommunication Sciences (ITS) is investigating the use of AI to 
automatically identify and classify clutter obstructed radio frequency propagation paths. 
Clutter is vegetation, buildings, and other structures that cause radio signal loss through 
dispersion, reflection, and diffraction. It does not include terrain effects. The classifier is a 
convolutional neural network (CNN) trained using lidar data coinciding with radio 
frequency propagation measurements made by ITS. This trained CNN can be fed new 
radio path lidar data and a clutter classification label is predicted.",,,,Department of Commerce,"1. Convolutional Neural Network (CNN)
2. Radio frequency propagation
3. Clutter classification
4. Lidar data
5. Automatic identification
6. Obstructed paths
7. Radio signal loss
8. Vegetation
9. Buildings
10. Diffraction"
DOC-0043-2023,DOC,National Telecommunications and Information Administration (NTIA),,WAWENETS,"The algorithm produces estimates of telecommunications speech quality and speech 
intelligibility.  The input is a recording of speech from a telecommunications system in 
digital file format.  The output is a single number that indicates speech quality (typically 
on a 1 to 5 scale) or speech intelligibility (typically on a 0 to 1 scale).",,,,Department of Commerce,"- AI model: Speech quality estimation
- Application: Telecommunications
- Keywords: Algorithm, speech intelligibility, recording, digital file format, single number output, scale, telecommunications system, speech quality, speech intelligibility."
DOC-0044-2023,DOC,United States Patent and Trade Office (USPTO),,AI retrieval for patent search,"Augmentation for next generation patent search tool to assist examiners identify relevant 
documents and additional areas to search.  System takes input from published or 
unpublished applications and provides recommendations on further prior art areas to 
search, giving the user the ability to sort by similarity to concepts of their choosing.",,,,Department of Commerce,"Keywords:
1. Augmentation
2. Patent search tool
3. Examiners
4. Prior art
5. Recommendations
6. Concepts
7. Similarity
8. Keywords extraction
9. AI model
10. Search enhancement"
DOC-0045-2023,DOC,United States Patent and Trade Office (USPTO),,AI use for CPC classification,"System that classifies incoming patent application based on the cooperative patent 
classification scheme for operational assignment of work and symbol recommendation for 
aI search.  Backoffice processing system that uses incoming patent applications as input 
and outputs the resulting classification symbols.",,,,Department of Commerce,"1. Cooperative Patent Classification
2. Symbol Recommendation
3. AI Search
4. Backoffice Processing
5. Classification System
6. Patent Application
7. Operational Work Assignment
8. Keyword Extraction
9. AI Model
10. Patent Classification Symbols"
DOC-0046-2023,DOC,United States Patent and Trade Office (USPTO),,AI retrieval for TM design coding and Image search,"Clarivate COTS solution to assist examiner identification of similar trademark images, to 
suggest the correct assignment of mark image design codes, and to determine the 
potential acceptability of the identifications of goods and services.  System is anticipated 
to use both incoming trademark images and registered trademark images and output 
design codes and/or other related images.",,,,Department of Commerce,"1. Trademark image recognition
2. Automated design code assignment
3. Examiner assistance
4. Identifications of goods and services
5. Acceptability determination
6. Image comparison
7. Keyword extraction
8. AI model
9. Image processing
10. Similarity detection"
DOC-0047-2023,DOC,United States Patent and Trade Office (USPTO),,Enriched Citation,"Data dissemination system that identifies which references, or prior art, were cited in 
specific patent application office actions, including: bibliographic information of the 
reference, the claims that the prior art was cited against, and the relevant sections that 
the examiner relied upon.  System extracts information from unstructured office actions 
and provides the information through a structured public facing API.",,,,Department of Commerce,"1. Natural Language Processing (NLP)
2. Information Extraction
3. Patent Analysis
4. Data Dissemination
5. Prior Art Identification
6. Unstructured Data Processing
7. Public facing API
8. Office Action Analysis
9. Bibliographic Information Extraction
10. Claim Analysis"
DOC-0048-2023,DOC,United States Patent and Trade Office (USPTO),,Inventor Search Assistant (iSAT),"Service to help inventors ""get started"" identifying relevant documents, figures, and 
classification codes used to conduct a novelty search.  System takes a user entered short 
description of invention and provides a user selectable set of recommended documents, 
figures, and classification areas.",,,,Department of Commerce,"- Novelty search
- Document recommendation
- Figure recommendation
- Classification code recommendation
- Keyword extraction
- AI model
- Invention identification
- User input
- Recommendation system
- Keyword identification"
DOE-0000-2023,DOE,Brookhaven National Laboratory,,Automated sorting of high repetition rate coherent diffraction data from XFELS,"""Coherent X-rays are routinely provided today by the latest Synchrotron 
and X-ray Free-electron Laser Sources. When these diffract from a 
crystal containing defects, interference leads to the formation of a 
modulated diffraction pattern called """"speckle"""". When the defects move 
around, they can be quantified by a correlation analysis technique called 
X-ray Photon Correlation Spectroscopy. But the speckles also change 
when the beam moves on the sample. By scanning the beam in a 
controlled way, the overlap between the adjacent regions gives 
redundancy to the data, which allows a solution of the inherent phase 
problem. This is the basis of the coherent X-ray ptychography method 
which can achieve image resolutions of 10nm, but only if the probe 
positions are known.
The goal of this proposal will be to separate """"genuine"""" fluctuations of a 
material sample from the inherent beam fluctuations at the high data 
rates of XFELs. Algorithms will be developed to calculate the 
correlations between all the coherent diffraction patterns arriving in a 
time series, then used to separate the two sources of fluctuation using 
the criterion that the """"natural"""" thermal fluctuations do not repeat, while 
beam ones do.  We separate the data stream into image and beam 
""""modes"""" automatically.""",,,,Department of Energy,"Keywords:
1. Coherent X-ray
2. Synchrotron
3. X-ray Free-electron Laser
4. X-ray Photon Correlation Spectroscopy
5. Speckle
6. X-ray ptychography
7. Image resolution
8. Data rates
9. Algorithms
10. Data stream separation"
DOE-0001-2023,DOE,Brookhaven National Laboratory,,Machine Learning for Autonomous Control of Scientific User Facilities,"BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-
II Operations to interpret accelerator data more intelligently.  We intend 
to train said algorithms with 5+ years of archived device-data from 
accelerator components, records of previous fault causes (to connect to 
data-symptoms) and stored beam current.",,,,Department of Energy,"1. Machine learning
2. ML algorithm
3. NSLS-II Operations
4. Interpret accelerator data
5. Train algorithms
6. Archived device-data
7. Previous fault causes
8. Data-symptoms
9. Stored beam current
10. Extract keywords"
DOE-0002-2023,DOE,Brookhaven National Laboratory,,SMMM,"AI/ML is being used to evaluate measurements in real-time during 
simultaneous experiments on two beamlines and then drive subsequent 
data collection on both of the beamlines to maximize the scientific value 
generated per time.",,,,Department of Energy,"1. AI/ML
2. real-time measurements
3. simultaneous experiments
4. beamlines
5. data collection
6. scientific value
7. optimization
8. maximize
9. efficiency
10. AI-driven experimentation"
DOE-0003-2023,DOE,Fermi National Accelerator,,AI Denoising,"This program aims to develop generative models for quickly simulating 
showers of particles in calorimeters for LHC experiments",,"Artificial Intelligence, Big Data, Neural Networks, Hierarchical Generative Model",,Department of Energy,"1. Generative models
2. Simulation
3. Particles
4. Calorimeters
5. LHC experiments
6. Modeling
7. Machine learning
8. Particle showers
9. Data generation
10. High-energy physics"
DOE-0004-2023,DOE,Fermi National Accelerator,,Extreme data reduction for the edge,"This projects develops AI algorithms and tools for near-sensor data 
reduction in custom hardware.",,"Artificial Intelligence, Big Data, Neural Networks, Novel Spectroscopic Technology",,Department of Energy,"1. AI algorithms
2. Near-sensor data reduction
3. Custom hardware
4. Tools
5. Data extraction
6. AI model
7. Data processing
8. Edge computing
9. Optimization
10. Sensor data analysis"
DOE-0005-2023,DOE,Fermi National Accelerator,,High-Velocity AI: Generative Models,"This project has two parts: 1. generating adversarial examples and then 
using domain adaptation and other techniques to improve the 
robustness of AI classification algorithms against those attacks 
(focusing on astrophysics/cosmology applications); 2. using AI 
algorithms to improve the output of low-quality classical simulation 
engines to deliver a high-quality result at high speed.",,"Artificial Intelligence, Big Data, Neural Networks, Hierarchical Generative Model",,Department of Energy,"1. Adversarial examples
2. Domain adaptation
3. Robustness
4. AI classification algorithms
5. Astrophysics
6. Cosmology
7. Low-quality classical simulation engines
8. High-quality results
9. High speed
10. Improvement techniques"
DOE-0006-2023,DOE,Fermi National Accelerator,,hls4ml,"This project develops hardware-software AI codesign tools for FPGAs 
and ASICs for algorithms running at the extreme edge.",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"1. Hardware-software AI codesign
2. FPGAs
3. ASICs
4. Extreme edge algorithms
5. AI model
6. Co-design tools
7. Application-specific integrated circuits 
8. Edge computing
9. Embedded AI
10. FPGA optimization"
DOE-0007-2023,DOE,Fermi National Accelerator,,In-pixel AI for future tracking detectors,"This project explores novel  AI-on-chip technology for intelligent 
detectors embedded with sensing technology",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"1. AI-on-chip technology
2. Intelligent detectors
3. Sensing technology
4. Embedded AI model
5. Novel AI technology
6. Primary application
7. Intelligent sensing
8. Embedded intelligence
9. AI detection technology
10. Advanced AI model"
DOE-0008-2023,DOE,Fermi National Accelerator,,In-storage computing for multi- messenger astronomy in neutrino experiments and cosmological surveys,"This project aims to address the big-data challenges and stringent time 
constraints facing multi-messenger astronomy (MMA) in neutrino 
experiments and cosomological surveys. Instead of following the 
traditional computing paradigm of moving data to the compute 
elements, it does the opposite to embed computation in the data where 
processing is performed in situ. This will be achieved through emerging 
computational storage accelerators on which ML algorithms may be 
deployed to execute MMA tasks quickly so alerts can be disseminated 
promptly.",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"1. Computational storage accelerators
2. Machine Learning
3. Multi-messenger astronomy
4. Neutrino experiments
5. Cosmological surveys
6. In situ processing
7. Quick alerts dissemination
8. Data embedded computation
9. Stringent time constraints
10. Big-data challenges"
DOE-0009-2023,DOE,Fermi National Accelerator,,Machine Learning for Accelerator Operations Using Big Data Analytics / L-CAPE,"Big data analytics for anomaly prediction and classification, enabling 
automatic mitigation, operational savings, and predictive maintenance of 
the Fermilab LINAC",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"1. Big data analytics
2. Anomaly prediction
3. Anomaly classification
4. Automatic mitigation
5. Operational savings
6. Predictive maintenance
7. Fermilab LINAC
8. AI model
9. Application
10. Purpose"
DOE-0010-2023,DOE,Fermi National Accelerator,,Machine Learning for Linac Improved Performance,"In Linacs at FNAL and J-PARC, the current emittance optimization 
procedure is limited to manual adjustments of a few parameters; using 
a larger number is not practically feasible for a human operator. Using 
machine learning (ML) techniques allows lifting this restriction and 
expanding this set. Our goal is to integrate ML into linac operation - and 
in particular RF control to achieve a more optimal longitudinal emittance 
and lower overall losses.",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"Keywords:
1. Machine learning (ML)
2. Emittance optimization
3. RF control
4. Linac operation
5. Longitudinal emittance
6. Parameter adjustments
7. Optimization procedure
8. Automatic adjustments
9. Human operator limitations
10. Loss reduction"
DOE-0011-2023,DOE,Fermi National Accelerator,,Next-Generation Beam Cooling and Control with Optical Stochastic Cooling,"This program leverages the physics and technology of optical stochastic 
cooling (OSC) to explore new possibilities in beam control and sensing.  
The planned architecture and performance of a new OSC system at 
IOTA should enable turn-by-turn programmability of the high-gain OSC.  
This capability can then be used in conjunction with other hardware 
systems as the basis of an action space for reinforcement learning (RL) 
methods.  The program aims to establish a new state of the art in beam 
cooling and a flexible set of tools for beam control and sensing at 
colliders and other accelerator facilities.",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"1. Optical Stochastic Cooling (OSC)
2. Beam control
3. Sensing
4. Reinforcement Learning (RL)
5. Physics
6. Technology
7. Program
8. Architecture
9. Performance
10. Beam cooling"
DOE-0012-2023,DOE,Fermi National Accelerator,,READS: Real-time Edge AI for Distributed Systems,"This project will develop and deploy low-latency controls and prediction 
algorithms at the Fermilab accelerator complex",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"Keywords:
1. Low-latency controls
2. Prediction algorithms
3. Fermilab accelerator complex
4. AI model
5. Deployment
6. Real-time
7. Optimization
8. Data analysis
9. Precision control
10. High-energy physics."
DOE-0013-2023,DOE,Fermi National Accelerator,,Simulation-based inference for cosmology,"This project will develop and use simulation-based inference to estimate 
cosmological parameters related to cosmic acceleration in the early and 
late universe — via the cosmic microwave background and strong 
gravitational lensing, respectively. This will produce an analysis pipeline 
that can be deployed for next-generation cosmic surveys.",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"Keywords:
1. Simulation-based inference
2. Cosmological parameters estimation
3. Cosmic acceleration
4. Cosmic microwave background
5. Strong gravitational lensing
6. Analysis pipeline
7. Next-generation cosmic surveys
8. AI model
9. Estimation
10. Inference"
DOE-0014-2023,DOE,Fermi National Accelerator,,SONIC: AI acceleration as a service,"This project focuses on integration of AI hardware for at-scale inference 
acceleration for particle physics experiments.",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"1. AI hardware
2. At-scale inference acceleration
3. Particle physics
4. Experiments
5. Integration
6. Model
7. Application
8. Purpose
9. Scale
10. Acceleration"
DOE-0015-2023,DOE,Fermi National Accelerator,,Streamining intelligent detectors for sPHENIX/EIC,"This project develops real-time algorithms for event filtering with tracking 
detectors for nuclear physics collider experiments.",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"1. Real-time algorithms
2. Event filtering
3. Tracking detectors
4. Nuclear physics
5. Collider experiments
6. AI model
7. Primary application
8. Event detection
9. Data analysis
10. Real-time tracking"
DOE-0016-2023,DOE,Fermi National Accelerator,,Uncertainty Quantification and Instrument Automation to enable next generation cosmological discoveries,"This project will develop AI-based tools to enable critical sectors for near-
future cosmic applications. Uncertainty quantification is essential for 
performing discovery science now, and simulation-based inference 
offers a new approach. The automated design and control of 
instrumentation will be important for improving the efficiency of planning 
and executing cosmic experiments.",,"Artificial Intelligence, Big Data, Neural Networks",,Department of Energy,"- AI-based tools
- Uncertainty quantification
- Simulation-based inference
- Automated design
- Instrumentation control
- Efficiency improvement
- Planning
- Execution
- Cosmic experiments
- Discovery science"
DOE-0017-2023,DOE,Idaho National Laboratory,,Deep Learning Malware Analysis for reusable cyber defenses.,"The INL uses machine learning (feed forward neural network) on a large 
data set of translated malware binaries in graph structures to identify 
commonality between malware.",,,,Department of Energy,"1. Machine learning
2. Feed forward neural network
3. Malware detection
4. Large data set
5. Translated malware binaries
6. Graph structures
7. Commonality identification
8. Keyword extraction
9. AI model
10. Primary application."
DOE-0018-2023,DOE,Idaho National Laboratory,,Geo Threat Observable for structure cyber threat related to the energy sector,"Collection of open source threat inforamtion related to cyber issues in 
the energy sector, collected stored in graphdb and used in machine 
learning for similarities of threat enabling better reuse of cyber 
protections.",,,,Department of Energy,"1. Open source threat information 
2. Cyber issues 
3. Energy sector 
4. Graphdb 
5. Machine learning 
6. Similarities of threat 
7. Cyber protections 
8. AI model 
9. Information collection 
10. Threat analysis"
DOE-0019-2023,DOE,Lawrence Livermore National Laboratory,,"Advanced energy, batteries, and industrial efficiency","Leveraging data science to navigate design space for better batteries 
and energy storage as well as scale up of various technologies",,,,Department of Energy,"Keywords:
1. Data science
2. Design space
3. Batteries
4. Energy storage
5. Scale up
6. Technologies
7. AI model
8. Navigating 
9. Extraction 
10. Keywords"
DOE-0020-2023,DOE,Lawrence Livermore National Laboratory,,"Advanced materials science, engineering, and exploration relevant to the other key technology focus areas","Enabling machine learning based technology to specialized materials for 
superior performance for scientific research and manufacturing systems",,,,Department of Energy,"Keywords:
1. Machine learning
2. Specialized materials
3. Superior performance
4. Scientific research
5. Manufacturing systems
6. AI model
7. Optimization
8. Intelligent material design
9. Algorithm development
10. Advanced technology"
DOE-0021-2023,DOE,Lawrence Livermore National Laboratory,,AI/ML and other software advances,"Model architecture development research, including workflows, 
algorithm and performance optimization",,,,Department of Energy,"1. Model architecture development
2. Research
3. Workflows
4. Algorithm optimization
5. Performance optimization
6. AI model
7. Development
8. Application
9. Purpose
10. Keywords"
